per-query epsilon,total epsilon,num queries
0.2,0.4,3
0.2,0.5,5
0.2,0.6,8
0.2,0.7,11
0.2,0.8,14
0.2,0.9,17
0.2,1.0,21
0.2,1.2,31
0.2,1.4,41
0.2,1.6,53
0.2,1.8,67
0.2,2.0,82
0.2,2.5,124
0.2,3.0,175
0.2,3.5,233
0.2,4.0,299
0.2,4.5,372
0.2,5.0,451
0.25,0.1,0
0.25,0.2,0
0.25,0.3,1
0.25,0.4,2
0.25,0.5,3
0.25,0.6,5
0.25,0.7,7
0.25,0.8,9
0.25,0.9,11
0.25,1.0,14
0.25,1.2,20
0.25,1.4,27
0.25,1.6,34
0.25,1.8,43
0.25,2.0,53
0.25,2.5,81
0.25,3.0,114
0.25,3.5,152
0.25,4.0,195
0.25,4.5,242
0.25,5.0,294
0.3,0.1,0
0.3,0.2,0
0.3,0.3,0
0.3,0.4,1
0.3,0.5,2
0.3,0.6,3
0.3,0.7,5
0.3,0.8,6
0.3,0.9,8
0.3,1.0,10
0.3,1.2,14
0.3,1.4,19
0.3,1.6,24
0.3,1.8,30
0.3,2.0,37
0.3,2.5,57
0.3,3.0,80
0.3,3.5,107
0.3,4.0,137
0.3,4.5,170
0.3,5.0,207
0.35,0.1,0
0.35,0.2,0
0.35,0.3,0
0.35,0.4,1
0.35,0.5,1
0.35,0.6,2
0.35,0.7,3
0.35,0.8,4
0.35,0.9,6
0.35,1.0,7
0.35,1.2,10
0.35,1.4,14
0.35,1.6,18
0.35,1.8,22
0.35,2.0,27
0.35,2.5,42
0.35,3.0,59
0.35,3.5,79
0.35,4.0,102
0.35,4.5,126
0.35,5.0,154
0.4,0.1,0
0.4,0.2,0
0.4,0.3,0
0.4,0.4,0
0.4,0.5,1
0.4,0.6,2
0.4,0.7,2
0.4,0.8,3
0.4,0.9,4
0.4,1.0,5
0.4,1.2,8
0.4,1.4,11
0.4,1.6,14
0.4,1.8,17
0.4,2.0,21
0.4,2.5,32
0.4,3.0,46
0.4,3.5,61
0.4,4.0,79
0.4,4.5,98
0.4,5.0,119
0.5,0.1,0
0.5,0.2,0
0.5,0.3,0
0.5,0.4,0
0.5,0.5,0
0.5,0.6,1
0.5,0.7,1
0.5,0.8,2
0.5,0.9,3
0.5,1.0,3
0.5,1.2,5
0.5,1.4,7
0.5,1.6,9
0.5,1.8,11
0.5,2.0,14
0.5,2.5,21
0.5,3.0,30
0.5,3.5,40
0.5,4.0,51
0.5,4.5,63
0.5,5.0,77
0.6,0.1,0
0.6,0.2,0
0.6,0.3,0
0.6,0.4,0
0.6,0.5,0
0.6,0.6,0
0.6,0.7,1
0.6,0.8,1
0.6,0.9,2
0.6,1.0,2
0.6,1.2,3
0.6,1.4,5
0.6,1.6,6
0.6,1.8,8
0.6,2.0,9
0.6,2.5,15
0.6,3.0,21
0.6,3.5,28
0.6,4.0,36
0.6,4.5,45
0.6,5.0,54
0.8,0.1,0
0.8,0.2,0
0.8,0.3,0
0.8,0.4,0
0.8,0.5,0
0.8,0.6,0
0.8,0.7,0
0.8,0.8,0
0.8,0.9,1
0.8,1.0,1
0.8,1.2,2
0.8,1.4,2
0.8,1.6,3
0.8,1.8,4
0.8,2.0,5
0.8,2.5,8
0.8,3.0,12
0.8,3.5,16
0.8,4.0,20
0.8,4.5,26
0.8,5.0,31
1.0,0.1,0
1.0,0.2,0
1.0,0.3,0
1.0,0.4,0
1.0,0.5,0
1.0,0.6,0
1.0,0.7,0
1.0,0.8,0
1.0,0.9,0
1.0,1.0,0
1.0,1.2,1
1.0,1.4,1
1.0,1.6,2
1.0,1.8,3
1.0,2.0,3
1.0,2.5,5
1.0,3.0,8
1.0,3.5,10
1.0,4.0,13
1.0,4.5,16
1.0,5.0,20
